Degree,Specialization,YearOfPassing,CGPA,Certifications,JobRole
B.Tech,AI,2018,8.71,20,AI Developer
M.Tech,IT,2022,5.78,5,Data Analyst
BCA,IT,2021,5.61,16,Software Engineer
M.Tech,CSE,2018,4.22,2,Data Analyst
BCA,CE,2019,6.03,14,Software Engineer
B.Tech,AI,2018,5.21,7,Manager
B.Tech,Other,2022,8.77,20,ML Developer
M.Tech,DS,2018,8.01,14,Data Analyst
B.Tech,ML,2021,5.97,11,ML Developer
M.Tech,ML,2024,9.5,18,ML Developer
PhD,ML,2023,7.98,4,ML Developer
BCA,CE,2018,6.41,17,Software Engineer
M.Tech,Other,2015,3.8,18,ML Developer
M.Tech,AI,2015,9.55,7,AI Developer
B.Tech,CSE,2019,5.13,15,Software Engineer
B.Tech,CSE,2015,4.83,17,Software Engineer
Other,IT,2022,8.03,3,Software Engineer
B.Tech,AI,2023,9.73,5,AI Developer
B.Tech,CE,2022,8.46,19,Software Engineer
PhD,DS,2022,7.48,3,Data Analyst
M.Tech,DS,2017,7.51,4,Data Analyst
BCA,AI,2016,7.82,17,ML Developer
BCA,Other,2024,7.71,6,ML Developer
M.Tech,CE,2017,7.14,11,Software Engineer
M.Tech,AI,2017,6.93,6,Software Engineer
B.Tech,ML,2021,6.72,10,AI Developer
BCA,Other,2019,5.9,6,Manager
PhD,Other,2015,6.46,20,Manager
B.Tech,IT,2022,4.77,18,Software Engineer
BCA,AI,2022,6.68,8,Software Engineer
M.Tech,IT,2021,5.61,15,Software Engineer
B.Tech,AI,2018,5.48,18,AI Developer
M.Tech,AI,2018,7.02,2,AI Developer
B.Tech,CSE,2017,8.47,2,Data Analyst
B.Tech,CE,2016,7.9,14,Software Engineer
Other,CSE,2019,4.92,20,Software Engineer
M.Tech,AI,2024,5.61,18,Software Engineer
Other,ML,2020,7.93,2,AI Developer
B.Tech,IT,2021,5.62,3,Data Analyst
BCA,CE,2022,6.53,5,Software Engineer
M.Tech,CSE,2023,7.46,14,Software Engineer
M.Tech,AI,2024,5.64,2,Manager
M.Tech,Other,2023,6.93,3,ML Developer
BCA,AI,2019,5.2,14,Data Analyst
BCA,CSE,2024,6.08,20,Software Engineer
B.Tech,CSE,2024,7.18,16,Software Engineer
M.Tech,AI,2022,4.89,6,Data Analyst
B.Tech,CSE,2018,7.33,1,Software Engineer
B.Tech,AI,2016,6.78,7,Data Analyst
Other,IT,2020,7.46,12,Software Engineer
M.Tech,AI,2015,7.07,7,ML Developer
B.Tech,CE,2019,8.44,17,Software Engineer
M.Tech,ML,2016,6.95,11,AI Developer
B.Tech,AI,2015,6.28,6,Software Engineer
B.Tech,CSE,2022,6.95,16,Software Engineer
BCA,AI,2022,7.45,5,ML Developer
PhD,IT,2020,6.86,15,Software Engineer
BCA,IT,2015,6.85,17,Software Engineer
B.Tech,ML,2020,5.96,18,Data Analyst
B.Tech,AI,2020,6.0,12,Manager
Other,CSE,2015,5.12,11,Software Engineer
Other,AI,2017,8.9,19,ML Developer
B.Tech,CSE,2019,5.31,11,Software Engineer
BCA,CSE,2016,5.97,16,Software Engineer
PhD,IT,2019,5.94,7,Data Analyst
B.Tech,IT,2015,7.87,7,Software Engineer
B.Tech,CE,2022,6.45,17,Software Engineer
B.Tech,CSE,2022,8.3,17,Software Engineer
B.Tech,CSE,2016,5.99,17,Software Engineer
M.Tech,CSE,2015,7.13,15,Software Engineer
B.Tech,DS,2016,5.8,1,Data Analyst
B.Tech,ML,2016,9.37,11,ML Developer
B.Tech,IT,2019,5.37,1,Data Analyst
M.Tech,CSE,2018,7.17,7,Data Analyst
B.Tech,CSE,2022,7.56,4,Data Analyst
B.Tech,CSE,2015,7.3,20,Software Engineer
M.Tech,CSE,2023,6.58,12,Software Engineer
M.Tech,CSE,2019,6.64,19,Software Engineer
B.Tech,CE,2024,6.85,11,Software Engineer
M.Tech,CE,2015,6.62,16,Software Engineer
Other,CE,2021,7.96,2,Software Engineer
B.Tech,CSE,2024,9.45,19,Software Engineer
M.Tech,AI,2022,6.13,20,AI Developer
B.Tech,ML,2023,5.16,3,ML Developer
M.Tech,CE,2022,6.69,4,Data Analyst
B.Tech,AI,2022,9.9,16,AI Developer
B.Tech,DS,2024,5.84,9,Data Scientist
B.Tech,AI,2020,8.77,11,ML Developer
B.Tech,IT,2020,8.81,16,Software Engineer
M.Tech,CSE,2020,6.14,20,Software Engineer
M.Tech,IT,2021,7.48,4,Data Analyst
M.Tech,CE,2019,8.75,18,Software Engineer
M.Tech,AI,2018,6.35,20,Software Engineer
M.Tech,Other,2021,6.56,3,AI Developer
B.Tech,AI,2021,6.1,14,Data Analyst
BCA,IT,2018,5.58,6,Software Engineer
BCA,ML,2022,6.02,4,Data Analyst
M.Tech,CSE,2016,5.33,15,Software Engineer
B.Tech,Other,2016,6.84,20,Manager
M.Tech,AI,2021,5.88,11,ML Developer
M.Tech,CE,2018,7.08,5,Software Engineer
BCA,AI,2022,4.93,18,AI Developer
B.Tech,AI,2018,7.2,7,ML Developer
B.Tech,AI,2019,7.8,14,ML Developer
Other,Other,2024,4.41,1,Data Analyst
Other,IT,2017,7.25,10,Software Engineer
B.Tech,DS,2015,8.27,1,Data Scientist
BCA,IT,2019,5.35,1,Software Engineer
B.Tech,AI,2020,8.81,13,ML Developer
B.Tech,CSE,2017,7.3,16,Software Engineer
B.Tech,AI,2020,5.95,14,Software Engineer
B.Tech,DS,2017,6.73,5,Data Analyst
M.Tech,CSE,2022,7.47,14,Software Engineer
Other,CSE,2017,6.89,14,Software Engineer
PhD,DS,2024,7.45,14,Data Scientist
M.Tech,IT,2022,5.7,13,Software Engineer
B.Tech,CSE,2024,7.0,1,Data Analyst
BCA,CSE,2023,5.1,9,Software Engineer
B.Tech,IT,2020,6.67,2,Software Engineer
M.Tech,ML,2016,5.72,19,ML Developer
Other,CE,2023,5.92,9,Software Engineer
M.Tech,CE,2024,8.28,3,Software Engineer
M.Tech,ML,2016,8.11,18,ML Developer
B.Tech,CE,2020,7.53,18,Software Engineer
BCA,IT,2023,5.49,16,Software Engineer
M.Tech,CSE,2020,6.42,10,Software Engineer
B.Tech,CE,2024,8.26,10,Software Engineer
BCA,AI,2015,6.97,16,Data Analyst
B.Tech,CE,2019,9.58,20,Software Engineer
B.Tech,IT,2017,7.27,17,Software Engineer
B.Tech,ML,2019,7.03,5,ML Developer
B.Tech,CSE,2016,6.43,20,Software Engineer
B.Tech,AI,2017,6.96,15,AI Developer
BCA,CSE,2018,6.62,16,Software Engineer
B.Tech,IT,2015,7.65,11,Software Engineer
Other,Other,2024,7.95,5,ML Developer
BCA,IT,2021,5.86,8,Data Analyst
BCA,CSE,2024,5.2,12,Software Engineer
B.Tech,CSE,2016,4.6,2,Software Engineer
M.Tech,IT,2022,7.41,18,Software Engineer
B.Tech,AI,2021,5.48,16,AI Developer
B.Tech,DS,2015,4.22,10,Data Scientist
B.Tech,AI,2023,7.27,2,AI Developer
M.Tech,IT,2021,9.79,20,Software Engineer
Other,DS,2020,6.79,9,Data Analyst
B.Tech,AI,2021,7.81,15,ML Developer
BCA,ML,2024,6.9,7,Data Analyst
B.Tech,AI,2017,6.68,11,Data Analyst
B.Tech,CE,2016,7.9,1,Data Analyst
B.Tech,CSE,2022,6.45,12,Software Engineer
B.Tech,CSE,2018,7.12,2,Software Engineer
M.Tech,CE,2024,7.19,7,Software Engineer
BCA,CSE,2024,6.0,5,Data Analyst
M.Tech,DS,2024,7.99,6,Data Scientist
M.Tech,CSE,2022,6.59,3,Data Analyst
Other,CSE,2021,5.89,11,Software Engineer
B.Tech,ML,2019,7.44,2,AI Developer
B.Tech,CE,2019,5.72,6,Data Analyst
B.Tech,Other,2018,6.83,20,ML Developer
B.Tech,IT,2017,6.79,18,Software Engineer
BCA,CSE,2016,8.1,15,Software Engineer
BCA,CSE,2016,7.37,3,Data Analyst
BCA,CE,2022,6.77,5,Software Engineer
Other,AI,2019,7.78,5,ML Developer
Other,AI,2023,8.47,16,ML Developer
B.Tech,ML,2016,7.47,18,AI Developer
B.Tech,AI,2022,6.81,4,Data Analyst
M.Tech,Other,2020,5.23,10,ML Developer
B.Tech,Other,2016,5.52,12,Data Analyst
PhD,CSE,2022,6.43,10,Software Engineer
M.Tech,CSE,2015,6.07,13,Software Engineer
M.Tech,CSE,2021,6.58,4,Data Analyst
M.Tech,DS,2022,6.87,7,Data Analyst
B.Tech,ML,2024,7.44,8,ML Developer
B.Tech,IT,2019,6.72,16,Software Engineer
M.Tech,ML,2022,7.38,1,AI Developer
B.Tech,ML,2015,6.88,13,Manager
B.Tech,AI,2023,4.43,15,Data Scientist
PhD,IT,2024,5.67,8,Software Engineer
B.Tech,CSE,2015,6.63,16,Software Engineer
Other,AI,2018,5.35,5,Manager
B.Tech,CE,2019,7.52,4,Data Analyst
M.Tech,ML,2016,8.64,4,AI Developer
M.Tech,AI,2016,8.26,7,ML Developer
BCA,Other,2021,6.54,11,Manager
Other,AI,2017,8.59,11,Data Scientist
BCA,ML,2024,6.98,6,AI Developer
B.Tech,CSE,2021,6.4,6,Data Analyst
M.Tech,IT,2024,6.06,2,Software Engineer
B.Tech,ML,2024,6.44,13,Software Engineer
B.Tech,IT,2015,6.33,1,Software Engineer
Other,ML,2024,7.0,10,ML Developer
BCA,ML,2017,6.99,7,Software Engineer
M.Tech,IT,2021,6.8,8,Software Engineer
M.Tech,CE,2017,7.32,16,Software Engineer
M.Tech,CE,2019,8.23,12,Software Engineer
B.Tech,AI,2018,7.94,4,Data Scientist
Other,AI,2023,5.02,17,Software Engineer
M.Tech,AI,2018,3.74,9,Manager
B.Tech,ML,2022,7.92,16,AI Developer
M.Tech,CE,2020,5.16,10,Software Engineer
B.Tech,CSE,2024,6.53,15,Software Engineer
B.Tech,ML,2023,5.4,6,Software Engineer
BCA,IT,2016,4.64,3,Software Engineer
BCA,AI,2020,7.45,14,AI Developer
M.Tech,CSE,2016,7.71,11,Software Engineer
B.Tech,CSE,2021,6.11,7,Data Analyst
PhD,CE,2024,3.69,16,Software Engineer
B.Tech,IT,2018,6.14,20,Software Engineer
M.Tech,IT,2017,7.27,15,Software Engineer
BCA,AI,2019,5.03,7,AI Developer
B.Tech,AI,2015,7.02,9,AI Developer
PhD,IT,2017,6.78,11,Software Engineer
B.Tech,CSE,2017,7.5,20,Software Engineer
Other,AI,2023,6.94,8,Manager
B.Tech,IT,2018,5.63,19,Software Engineer
M.Tech,IT,2015,8.24,14,Software Engineer
BCA,CSE,2020,6.61,14,Software Engineer
M.Tech,DS,2024,6.77,5,Data Scientist
PhD,IT,2015,5.68,2,Data Analyst
BCA,IT,2021,6.27,17,Software Engineer
B.Tech,ML,2016,5.74,15,ML Developer
B.Tech,AI,2015,6.59,14,Software Engineer
B.Tech,CSE,2016,8.85,1,Data Analyst
M.Tech,CSE,2022,5.15,19,Software Engineer
BCA,CE,2022,4.86,15,Software Engineer
BCA,DS,2021,8.57,6,Data Scientist
B.Tech,IT,2015,6.55,3,Data Analyst
PhD,CSE,2015,6.0,10,Software Engineer
B.Tech,CSE,2024,8.05,18,Software Engineer
M.Tech,CSE,2016,6.07,20,Software Engineer
PhD,ML,2015,8.99,17,Data Scientist
M.Tech,DS,2016,7.61,13,Data Analyst
M.Tech,IT,2017,6.21,18,Software Engineer
BCA,AI,2018,9.39,5,Data Scientist
B.Tech,CSE,2022,6.07,19,Software Engineer
PhD,ML,2018,7.69,11,AI Developer
B.Tech,AI,2019,7.16,2,AI Developer
B.Tech,IT,2023,8.36,4,Data Analyst
BCA,AI,2023,8.67,10,ML Developer
B.Tech,AI,2016,6.84,7,ML Developer
B.Tech,IT,2017,5.9,10,Software Engineer
Other,CE,2017,7.35,9,Software Engineer
B.Tech,CSE,2017,5.99,7,Software Engineer
B.Tech,Other,2023,9.22,5,ML Developer
B.Tech,IT,2015,6.96,10,Software Engineer
B.Tech,CE,2018,6.36,17,Software Engineer
M.Tech,IT,2020,7.02,11,Software Engineer
M.Tech,AI,2023,5.18,18,ML Developer
M.Tech,AI,2019,5.63,6,AI Developer
B.Tech,IT,2019,8.24,2,Software Engineer
B.Tech,IT,2017,6.01,20,Software Engineer
Other,ML,2019,5.54,6,Software Engineer
BCA,AI,2017,7.44,6,AI Developer
B.Tech,CSE,2017,8.22,15,Software Engineer
B.Tech,CSE,2023,7.66,2,Data Analyst
Other,CSE,2022,8.0,18,Software Engineer
Other,IT,2016,5.89,1,Data Analyst
Other,ML,2022,5.09,11,Software Engineer
B.Tech,ML,2023,8.6,11,ML Developer
B.Tech,DS,2024,6.41,5,Data Scientist
BCA,DS,2020,6.5,4,Data Scientist
Other,CSE,2023,8.39,4,Data Analyst
B.Tech,AI,2018,7.47,15,AI Developer
B.Tech,AI,2018,7.35,19,ML Developer
BCA,ML,2018,9.4,1,AI Developer
BCA,AI,2016,6.03,17,ML Developer
B.Tech,CSE,2024,7.91,17,Software Engineer
Other,DS,2020,6.87,13,Data Analyst
PhD,IT,2020,7.12,1,Data Analyst
B.Tech,CSE,2022,8.63,18,Software Engineer
B.Tech,ML,2022,7.41,14,Data Scientist
B.Tech,ML,2021,7.45,14,AI Developer
M.Tech,CE,2018,8.09,10,Software Engineer
M.Tech,DS,2020,6.36,3,Data Scientist
M.Tech,IT,2015,5.79,14,Software Engineer
M.Tech,CSE,2017,5.55,18,Software Engineer
M.Tech,AI,2017,4.44,7,Software Engineer
BCA,CSE,2022,9.27,2,Data Analyst
BCA,CSE,2023,5.48,15,Software Engineer
B.Tech,ML,2017,6.53,9,AI Developer
Other,ML,2022,6.47,4,Data Scientist
M.Tech,CSE,2017,7.17,16,Software Engineer
Other,AI,2015,7.78,4,ML Developer
M.Tech,Other,2024,7.83,12,Data Analyst
M.Tech,IT,2019,6.1,16,Software Engineer
Other,ML,2020,6.6,17,Data Scientist
M.Tech,ML,2017,7.14,19,AI Developer
B.Tech,DS,2017,6.5,12,Data Analyst
B.Tech,IT,2020,8.73,2,Data Analyst
B.Tech,AI,2016,7.39,17,AI Developer
M.Tech,ML,2024,7.68,6,ML Developer
PhD,ML,2019,7.6,9,ML Developer
M.Tech,CE,2024,8.21,12,Software Engineer
BCA,CE,2023,7.02,10,Software Engineer
B.Tech,IT,2020,5.24,6,Software Engineer
B.Tech,IT,2018,7.28,18,Software Engineer
M.Tech,ML,2023,6.02,18,Data Scientist
M.Tech,ML,2016,6.17,14,ML Developer
Other,CSE,2017,7.5,1,Data Analyst
B.Tech,AI,2017,8.29,15,Data Scientist
M.Tech,ML,2020,6.83,6,Data Scientist
B.Tech,ML,2016,7.17,8,AI Developer
M.Tech,AI,2019,8.84,5,AI Developer
Other,IT,2016,7.09,3,Software Engineer
BCA,ML,2015,9.92,7,AI Developer
BCA,IT,2015,7.48,16,Software Engineer
B.Tech,CSE,2016,4.69,10,Software Engineer
M.Tech,ML,2016,7.7,20,AI Developer
Other,CSE,2020,7.26,1,Software Engineer
B.Tech,ML,2019,8.35,19,AI Developer
B.Tech,IT,2024,7.61,8,Software Engineer
B.Tech,AI,2015,6.63,17,Software Engineer
BCA,Other,2017,5.33,18,Manager
Other,CE,2018,6.55,17,Software Engineer
PhD,IT,2024,5.78,6,Data Analyst
M.Tech,CSE,2020,6.1,13,Software Engineer
B.Tech,IT,2021,7.51,4,Data Analyst
B.Tech,CSE,2017,8.8,16,Software Engineer
BCA,ML,2023,7.27,2,AI Developer
M.Tech,IT,2022,5.36,20,Software Engineer
BCA,AI,2022,7.33,8,ML Developer
B.Tech,DS,2018,8.24,3,Data Scientist
BCA,DS,2020,6.07,6,Data Analyst
M.Tech,AI,2021,6.64,15,Data Analyst
M.Tech,CE,2017,6.82,13,Software Engineer
B.Tech,AI,2016,5.86,6,Manager
B.Tech,CSE,2018,7.58,20,Software Engineer
BCA,IT,2018,6.65,14,Software Engineer
BCA,CSE,2024,7.3,19,Software Engineer
B.Tech,ML,2021,5.74,12,ML Developer
M.Tech,Other,2022,6.28,17,AI Developer
B.Tech,IT,2016,7.67,9,Software Engineer
M.Tech,CSE,2017,6.35,1,Software Engineer
BCA,ML,2022,8.87,1,Data Scientist
B.Tech,AI,2017,6.32,10,Data Analyst
M.Tech,ML,2023,7.07,16,ML Developer
B.Tech,AI,2022,7.92,17,AI Developer
B.Tech,DS,2023,5.1,1,Data Scientist
B.Tech,IT,2016,4.69,13,Software Engineer
M.Tech,DS,2022,4.97,15,Data Analyst
B.Tech,AI,2019,8.32,6,ML Developer
B.Tech,ML,2022,6.14,4,Data Analyst
M.Tech,AI,2023,9.87,19,ML Developer
M.Tech,CSE,2015,6.12,13,Software Engineer
B.Tech,AI,2021,7.02,20,ML Developer
BCA,CSE,2015,8.65,1,Software Engineer
B.Tech,IT,2024,9.21,1,Data Analyst
B.Tech,IT,2020,9.27,14,Software Engineer
B.Tech,AI,2018,8.25,8,ML Developer
M.Tech,DS,2016,8.03,10,Data Analyst
B.Tech,IT,2015,7.51,15,Software Engineer
M.Tech,IT,2023,7.73,14,Software Engineer
B.Tech,AI,2024,6.14,1,AI Developer
B.Tech,IT,2024,5.82,4,Data Analyst
B.Tech,AI,2020,6.8,16,Data Analyst
BCA,AI,2017,6.6,20,AI Developer
B.Tech,IT,2022,6.26,3,Software Engineer
B.Tech,CE,2024,7.64,13,Software Engineer
BCA,AI,2016,7.95,19,AI Developer
B.Tech,CE,2023,6.91,16,Software Engineer
B.Tech,CSE,2016,8.57,10,Software Engineer
M.Tech,CSE,2023,5.43,11,Software Engineer
B.Tech,IT,2024,6.57,17,Software Engineer
M.Tech,ML,2017,5.94,1,Data Scientist
BCA,DS,2024,4.56,16,Data Analyst
Other,ML,2022,6.7,9,Data Scientist
M.Tech,AI,2021,6.65,19,Data Scientist
M.Tech,IT,2020,8.62,15,Software Engineer
B.Tech,CSE,2019,7.56,14,Software Engineer
B.Tech,DS,2016,5.57,7,Data Scientist
B.Tech,CSE,2017,9.02,9,Software Engineer
M.Tech,CSE,2018,8.27,4,Software Engineer
B.Tech,CSE,2019,7.5,15,Software Engineer
M.Tech,Other,2021,6.53,2,Software Engineer
B.Tech,CSE,2019,5.65,9,Software Engineer
M.Tech,CSE,2015,6.35,16,Software Engineer
BCA,CE,2016,8.11,11,Software Engineer
M.Tech,DS,2021,9.06,12,Data Scientist
PhD,IT,2017,8.65,8,Software Engineer
M.Tech,IT,2016,6.21,17,Software Engineer
M.Tech,AI,2023,5.46,9,ML Developer
PhD,CSE,2016,6.97,11,Software Engineer
B.Tech,AI,2021,4.68,8,ML Developer
B.Tech,CSE,2018,7.19,9,Software Engineer
B.Tech,CSE,2024,6.62,2,Data Analyst
M.Tech,AI,2016,6.24,11,Data Analyst
B.Tech,AI,2019,4.89,5,AI Developer
M.Tech,IT,2019,7.42,1,Software Engineer
BCA,AI,2015,6.16,8,AI Developer
M.Tech,CSE,2020,5.4,4,Software Engineer
PhD,IT,2021,3.35,9,Software Engineer
B.Tech,DS,2018,6.77,10,Data Analyst
PhD,DS,2020,8.93,14,Data Scientist
B.Tech,CE,2022,8.79,16,Software Engineer
BCA,DS,2020,6.25,14,Data Scientist
BCA,ML,2019,6.08,17,Manager
B.Tech,AI,2023,7.36,11,ML Developer
B.Tech,CE,2017,5.6,15,Software Engineer
BCA,CSE,2021,7.16,7,Data Analyst
B.Tech,CE,2017,7.72,8,Software Engineer
BCA,AI,2020,8.27,15,ML Developer
BCA,CSE,2024,6.68,11,Software Engineer
BCA,CSE,2021,6.56,12,Software Engineer
B.Tech,DS,2024,5.75,8,Data Analyst
B.Tech,AI,2024,5.81,8,Manager
Other,CSE,2017,6.53,2,Data Analyst
M.Tech,AI,2017,7.24,3,Data Scientist
B.Tech,AI,2015,7.9,17,ML Developer
Other,IT,2022,5.84,4,Software Engineer
BCA,CSE,2019,8.59,10,Software Engineer
BCA,IT,2021,6.47,7,Software Engineer
Other,CSE,2018,6.77,14,Software Engineer
B.Tech,ML,2015,5.9,10,AI Developer
B.Tech,IT,2018,3.89,12,Software Engineer
M.Tech,AI,2016,7.86,1,ML Developer
PhD,Other,2021,7.68,7,Manager
BCA,ML,2019,6.46,3,Manager
M.Tech,CE,2018,6.88,16,Software Engineer
Other,Other,2024,7.42,2,Manager
B.Tech,AI,2019,4.92,13,Data Scientist
B.Tech,Other,2023,6.17,2,Data Analyst
B.Tech,CSE,2022,7.75,11,Software Engineer
PhD,CSE,2020,5.29,17,Software Engineer
B.Tech,CSE,2020,7.15,2,Software Engineer
M.Tech,Other,2019,5.17,12,ML Developer
B.Tech,DS,2024,7.36,9,Data Analyst
B.Tech,CSE,2022,6.76,5,Data Analyst
B.Tech,CSE,2018,4.86,6,Software Engineer
M.Tech,CSE,2022,8.2,14,Software Engineer
B.Tech,DS,2022,5.92,2,Data Analyst
Other,AI,2022,5.83,16,Manager
BCA,DS,2016,7.04,12,Data Analyst
PhD,CSE,2017,8.18,17,Software Engineer
BCA,AI,2024,5.58,7,Data Analyst
Other,CE,2024,6.87,6,Data Analyst
Other,CSE,2022,7.31,4,Data Analyst
B.Tech,AI,2016,7.63,13,AI Developer
Other,CSE,2020,7.01,5,Software Engineer
B.Tech,ML,2022,6.36,15,Data Scientist
Other,AI,2015,5.81,11,Manager
M.Tech,Other,2020,6.9,19,Software Engineer
B.Tech,CE,2019,5.51,11,Software Engineer
BCA,ML,2023,3.29,20,ML Developer
B.Tech,CSE,2018,7.32,13,Software Engineer
B.Tech,DS,2017,7.88,13,Data Scientist
B.Tech,ML,2017,3.96,4,AI Developer
M.Tech,IT,2019,5.59,20,Software Engineer
B.Tech,AI,2020,7.54,17,AI Developer
B.Tech,IT,2019,9.27,19,Software Engineer
M.Tech,CE,2021,6.82,12,Software Engineer
M.Tech,IT,2021,5.93,3,Software Engineer
M.Tech,Other,2018,6.58,5,ML Developer
M.Tech,AI,2016,8.45,10,ML Developer
B.Tech,ML,2019,6.02,5,Software Engineer
M.Tech,CSE,2018,5.84,17,Software Engineer
B.Tech,AI,2023,6.22,3,Manager
M.Tech,IT,2021,5.66,4,Data Analyst
M.Tech,AI,2019,6.95,12,AI Developer
M.Tech,ML,2015,8.75,4,ML Developer
M.Tech,ML,2021,7.19,2,AI Developer
PhD,CSE,2024,6.5,15,Software Engineer
BCA,IT,2019,6.45,11,Software Engineer
Other,DS,2017,4.92,7,Data Analyst
BCA,AI,2016,7.86,14,ML Developer
B.Tech,CSE,2017,6.71,16,Software Engineer
M.Tech,IT,2024,6.58,16,Software Engineer
B.Tech,ML,2024,10.0,12,ML Developer
Other,AI,2019,7.16,3,AI Developer
B.Tech,CSE,2015,5.9,7,Software Engineer
B.Tech,AI,2018,6.29,14,Data Scientist
PhD,IT,2016,8.18,10,Software Engineer
BCA,CSE,2021,6.94,1,Software Engineer
B.Tech,CSE,2022,5.07,16,Software Engineer
M.Tech,DS,2024,7.9,8,Data Analyst
M.Tech,ML,2015,6.0,11,Manager
B.Tech,ML,2021,9.05,14,Data Scientist
BCA,AI,2023,8.1,10,AI Developer
B.Tech,IT,2024,6.26,16,Software Engineer
B.Tech,CE,2015,8.34,14,Software Engineer
M.Tech,AI,2019,6.88,14,ML Developer
B.Tech,AI,2020,7.82,15,ML Developer
B.Tech,CSE,2018,7.38,16,Software Engineer
B.Tech,CSE,2018,5.78,19,Software Engineer
Other,CSE,2024,6.03,15,Software Engineer
B.Tech,CSE,2021,8.04,14,Software Engineer
BCA,AI,2020,6.4,16,Software Engineer
M.Tech,CSE,2016,6.32,16,Software Engineer
B.Tech,CSE,2024,5.65,16,Software Engineer
B.Tech,IT,2022,7.31,10,Software Engineer
B.Tech,AI,2015,9.28,12,Data Scientist
B.Tech,CSE,2023,5.52,2,Software Engineer
B.Tech,CSE,2018,6.83,4,Software Engineer
M.Tech,Other,2020,8.49,2,Data Analyst
B.Tech,CSE,2023,6.7,20,Software Engineer
M.Tech,ML,2022,7.34,15,Data Scientist
BCA,Other,2024,5.53,20,Manager
BCA,CE,2016,7.31,6,Software Engineer
PhD,DS,2017,6.58,10,Data Scientist
BCA,IT,2016,7.98,5,Data Analyst
B.Tech,CSE,2018,8.22,15,Software Engineer
Other,ML,2015,9.91,8,Data Scientist
M.Tech,CSE,2017,7.5,3,Data Analyst
B.Tech,ML,2020,7.19,8,AI Developer
BCA,IT,2018,7.03,5,Data Analyst
B.Tech,IT,2022,6.38,17,Software Engineer
BCA,IT,2015,7.21,15,Software Engineer
B.Tech,CE,2023,6.45,3,Software Engineer
B.Tech,IT,2017,7.0,14,Software Engineer
B.Tech,ML,2017,8.38,19,AI Developer
M.Tech,ML,2023,5.59,10,ML Developer
B.Tech,AI,2023,8.17,10,ML Developer
B.Tech,CSE,2019,8.38,17,Software Engineer
M.Tech,CSE,2021,6.66,15,Software Engineer
M.Tech,DS,2024,4.25,20,Data Scientist
M.Tech,DS,2021,6.07,7,Data Scientist
B.Tech,IT,2021,8.36,5,Data Analyst
B.Tech,IT,2019,6.77,17,Software Engineer
B.Tech,AI,2015,5.6,1,Data Analyst
M.Tech,CSE,2019,6.19,14,Software Engineer
Other,CSE,2015,7.81,12,Software Engineer
B.Tech,IT,2016,7.46,2,Software Engineer
B.Tech,AI,2015,6.51,15,AI Developer
Other,ML,2024,6.36,19,Data Scientist
PhD,AI,2023,6.33,20,Data Scientist
B.Tech,CSE,2024,5.69,5,Data Analyst
M.Tech,CSE,2020,8.74,17,Software Engineer
M.Tech,ML,2020,6.41,15,Manager
B.Tech,IT,2021,8.26,3,Software Engineer
B.Tech,DS,2022,8.63,7,Data Analyst
B.Tech,IT,2024,8.0,18,Software Engineer
M.Tech,IT,2019,6.28,19,Software Engineer
M.Tech,IT,2022,7.28,16,Software Engineer
BCA,IT,2017,6.77,5,Software Engineer
M.Tech,IT,2023,5.72,17,Software Engineer
B.Tech,CSE,2022,7.19,2,Software Engineer
Other,IT,2016,5.39,20,Software Engineer
PhD,CSE,2020,8.23,19,Software Engineer
B.Tech,IT,2016,6.24,12,Software Engineer
B.Tech,IT,2019,7.04,16,Software Engineer
B.Tech,CSE,2024,7.14,14,Software Engineer
B.Tech,DS,2019,6.49,7,Data Analyst
BCA,CE,2023,7.5,12,Software Engineer
B.Tech,CE,2022,6.23,19,Software Engineer
B.Tech,IT,2020,7.85,13,Software Engineer
M.Tech,ML,2024,5.18,5,Software Engineer
M.Tech,IT,2022,6.95,15,Software Engineer
B.Tech,ML,2016,9.13,20,ML Developer
B.Tech,CSE,2021,5.6,11,Software Engineer
M.Tech,Other,2022,5.99,9,Data Scientist
B.Tech,CSE,2015,7.42,19,Software Engineer
M.Tech,ML,2019,7.02,18,ML Developer
M.Tech,CE,2024,7.22,18,Software Engineer
M.Tech,CE,2024,7.39,17,Software Engineer
B.Tech,IT,2015,7.56,4,Software Engineer
Other,CSE,2018,8.13,8,Data Analyst
B.Tech,IT,2020,7.29,13,Software Engineer
M.Tech,IT,2015,6.51,11,Software Engineer
B.Tech,IT,2023,7.61,11,Software Engineer
B.Tech,CE,2016,9.08,18,Software Engineer
B.Tech,CSE,2019,6.64,3,Software Engineer
B.Tech,IT,2017,5.63,2,Data Analyst
B.Tech,ML,2019,8.13,13,AI Developer
B.Tech,DS,2019,6.66,13,Data Scientist
PhD,CE,2018,4.19,20,Software Engineer
M.Tech,IT,2023,7.82,13,Software Engineer
Other,CSE,2020,6.16,15,Software Engineer
M.Tech,CE,2015,6.69,14,Software Engineer
M.Tech,DS,2015,7.2,9,Data Analyst
M.Tech,CSE,2023,7.03,5,Data Analyst
M.Tech,IT,2023,7.65,7,Software Engineer
B.Tech,Other,2018,6.28,18,ML Developer
Other,AI,2015,7.42,1,Data Scientist
Other,AI,2017,6.49,1,Manager
Other,IT,2024,7.69,9,Software Engineer
BCA,IT,2020,7.54,7,Data Analyst
B.Tech,ML,2024,5.68,3,AI Developer
